Date,Time,Consumption
1/1/2007,0:00:00,0.008784149
1/1/2007,0:01:00,0.008555709
1/1/2007,0:02:00,0.009095279
1/1/2007,0:03:00,0.009013777
1/1/2007,0:04:00,0.008564569
1/1/2007,0:05:00,0.008741938
1/1/2007,0:06:00,0.009263084
1/1/2007,0:07:00,0.009128227
1/1/2007,0:08:00,0.008440129
1/1/2007,0:09:00,0.008414957
1/1/2007,0:10:00,0.008935251
1/1/2007,0:11:00,0.009121856
1/1/2007,0:12:00,0.009110044
1/1/2007,0:13:00,0.00920429
1/1/2007,0:14:00,0.008925207
1/1/2007,0:15:00,0.008619001
1/1/2007,0:16:00,0.008984392
1/1/2007,0:17:00,0.008860129
1/1/2007,0:18:00,0.008719694
1/1/2007,0:19:00,0.00829481
1/1/2007,0:20:00,0.00933364
1/1/2007,0:21:00,0.008606932
1/1/2007,0:22:00,0.008982326
1/1/2007,0:23:00,0.009348573
1/1/2007,0:24:00,0.009393073
1/1/2007,0:25:00,0.009406883
1/1/2007,0:26:00,0.009552178
1/1/2007,0:27:00,0.009595615
1/1/2007,0:28:00,0.009390174
1/1/2007,0:29:00,0.009591261
1/1/2007,0:30:00,0.009137677
1/1/2007,0:31:00,0.009634996
1/1/2007,0:32:00,0.009634744
1/1/2007,0:33:00,0.009401454
1/1/2007,0:34:00,0.009367202
1/1/2007,0:35:00,0.009662438
1/1/2007,0:36:00,0.009180024
1/1/2007,0:37:00,0.008779197
1/1/2007,0:38:00,0.008598396
1/1/2007,0:39:00,0.009494798
1/1/2007,0:40:00,0.008970481
1/1/2007,0:41:00,0.00897964
1/1/2007,0:42:00,0.009049394
1/1/2007,0:43:00,0.009004793
1/1/2007,0:44:00,0.009370386
1/1/2007,0:45:00,0.008864196
1/1/2007,0:46:00,0.009164195
1/1/2007,0:47:00,0.009407802
1/1/2007,0:48:00,0.008908437
1/1/2007,0:49:00,0.009094471
1/1/2007,0:50:00,0.009168494
1/1/2007,0:51:00,0.008874348
1/1/2007,0:52:00,0.009126622
1/1/2007,0:53:00,0.008558654
1/1/2007,0:54:00,0.008298276
1/1/2007,0:55:00,0.008573728
1/1/2007,0:56:00,0.009123268
1/1/2007,0:57:00,0.008522262
1/1/2007,0:58:00,0.008599382
1/1/2007,0:59:00,0.008987444
1/1/2007,1:00:00,0.008237507
1/1/2007,1:01:00,0.009535156
1/1/2007,1:02:00,0.008735069
1/1/2007,1:03:00,0.009096012
1/1/2007,1:04:00,0.009123971
1/1/2007,1:05:00,0.009442838
1/1/2007,1:06:00,0.009274322
1/1/2007,1:07:00,0.008851374
1/1/2007,1:08:00,0.008904346
1/1/2007,1:09:00,0.008810691
1/1/2007,1:10:00,0.00897545
1/1/2007,1:11:00,0.009295095
1/1/2007,1:12:00,0.008792086
1/1/2007,1:13:00,0.009293249
1/1/2007,1:14:00,0.00911148
1/1/2007,1:15:00,0.008405663
1/1/2007,1:16:00,0.008622749
1/1/2007,1:17:00,0.008485921
1/1/2007,1:18:00,0.008752117
1/1/2007,1:19:00,0.008964977
1/1/2007,1:20:00,0.009252503
1/1/2007,1:21:00,0.009151365
1/1/2007,1:22:00,0.00919682
1/1/2007,1:23:00,0.009198203
1/1/2007,1:24:00,0.009374272
1/1/2007,1:25:00,0.009148142
1/1/2007,1:26:00,0.009147608
1/1/2007,1:27:00,0.008923479
1/1/2007,1:28:00,0.008570116
1/1/2007,1:29:00,0.008925756
1/1/2007,1:30:00,0.008936687
1/1/2007,1:31:00,0.009009389
1/1/2007,1:32:00,0.008557753
1/1/2007,1:33:00,0.008722579
1/1/2007,1:34:00,0.008345965
1/1/2007,1:35:00,0.008270607
1/1/2007,1:36:00,0.008884564
1/1/2007,1:37:00,0.008714077
1/1/2007,1:38:00,0.009040867
1/1/2007,1:39:00,0.008542146
1/1/2007,1:40:00,0.009064127
1/1/2007,1:41:00,0.008754278
1/1/2007,1:42:00,0.008799431
1/1/2007,1:43:00,0.009136426
1/1/2007,1:44:00,0.009198211
1/1/2007,1:45:00,0.008735055
1/1/2007,1:46:00,0.009239203
1/1/2007,1:47:00,0.00924834
1/1/2007,1:48:00,0.008967176
